Marca,Model,Anul,Kilometrajul,Capacitatea motorului,Tipul de combustibil,Preț
BMW,BMW X5 xDrive30d,2018,119 900 km,2 993 cm3,Diesel,36 300
BMW,BMW X4 M,2023,9 700 km,2 993 cm3,Benzina,77 564
BMW,BMW X1,2022,24 300 km,1 995 cm3,Diesel,45 434
BMW,BMW X1,2022,14 000 km,1 995 cm3,Diesel,45 196
BMW,BMW 3,2019,134 250 km,1 998 cm3,Hibrid,26 418
BMW,BMW 5,2022,20 900 km,1 998 cm3,Hibrid Plug-In,49 361
BMW,BMW X3 xDrive20d,2019,152 000 km,1 995 cm3,Diesel,29 970
BMW,BMW X5 xDrive40e,2016,170 000 km,1 997 cm3,Hibrid Plug-In,29 990
BMW,BMW 2,2015,204 358 km,1 995 cm3,Diesel,9 990
BMW,BMW 3,2011,257 575 km,1 995 cm3,Diesel,7 990
BMW,BMW X4 xDrive20d,2015,229 814 km,1 995 cm3,Diesel,21 550
BMW,BMW X5 xDrive40i,2019,66 500 km,2 998 cm3,Benzina,57 999
BMW,BMW 6,2016,157 000 km,4 395 cm3,Benzina,28 500
BMW,BMW X6 xDrive30d,2017,235 000 km,2 993 cm3,Diesel,31 000
BMW,BMW X4 xDrive20d,2019,69 000 km,1 995 cm3,Diesel,42 840
BMW,BMW Z4,2022,8 103 km,1 998 cm3,Benzina,37 580
BMW,BMW X3 xDrive20d,2011,228 000 km,1 995 cm3,Diesel,13 499
BMW,BMW X6 xDrive30d,2022,20 100 km,2 993 cm3,Diesel,79 230
BMW,BMW 1,2022,23 500 km,1 496 cm3,Diesel,24 490
BMW,BMW 1,2022,23 600 km,1 995 cm3,Diesel,26 751
BMW,BMW 5,2023,18 600 km,1 998 cm3,Benzina,45 791
BMW,BMW 5,2019,120 000 km,1 995 cm3,Diesel,32 500
BMW,BMW X5 xDrive30d,2019,63 700 km,2 993 cm3,Diesel,58 881
BMW,BMW X1 sDrive20i,2023,18 321 km,1 499 cm3,Benzina,37 842
BMW,BMW 3,2020,98 000 km,1 998 cm3,Benzina,26 951
BMW,BMW 5,2019,87 900 km,1 995 cm3,Diesel,29 970
BMW,BMW X3 xDrive20d,2018,156 500 km,1 995 cm3,Diesel,28 950
BMW,BMW 3,2020,81 700 km,1 998 cm3,Hibrid Plug-In,27 965
BMW,BMW X5,2016,151 700 km,1 997 cm3,Hibrid,29 970
BMW,BMW 3,2019,62 172 km,1 995 cm3,Diesel,29 490
BMW,BMW 3,2019,146 600 km,1 995 cm3,Diesel,17 493
BMW,BMW X1,2021,59 669 km,1 499 cm3,Benzina,24 250
BMW,BMW X4 xDrive30i,2019,98 680 km,1 998 cm3,Benzina,34 896
BMW,BMW X1 xDrive23d,2011,224 000 km,1 995 cm3,Diesel,10 490
BMW,BMW 5,2023,27 000 km,1 995 cm3,Diesel,48 790
BMW,BMW X5 xDrive25d,2016,209 000 km,1 995 cm3,Diesel,21 900
BMW,BMW X5 xDrive25d,2018,87 000 km,1 995 cm3,Diesel,37 500
BMW,BMW X5,2010,230 000 km,2 993 cm3,Diesel,9 000
BMW,BMW 3,2018,161 500 km,1 995 cm3,Diesel,14 990
BMW,BMW X6 xDrive30d,2015,175 000 km,2 993 cm3,Diesel,25 900
BMW,BMW 5,2006,158 000 km,2 497 cm3,Diesel,5 999
BMW,BMW X1 xDrive18d,2014,219 811 km,1 995 cm3,Diesel,12 999
BMW,BMW 5,2019,65 088 km,1 995 cm3,Diesel,28 499
BMW,BMW 5,2012,292 000 km,1 995 cm3,Diesel,11 499
BMW,BMW 1,2008,253 000 km,1 995 cm3,Diesel,6 499
BMW,BMW 6,2013,165 879 km,2 993 cm3,Diesel,20 950
BMW,BMW 5,2020,104 174 km,1 998 cm3,Benzina,37 989
BMW,BMW 1,2011,279 500 km,1 995 cm3,Diesel,6 999
BMW,BMW 3,2006,188 700 km,1 995 cm3,Benzina,5 799
BMW,BMW 5,2010,299 000 km,2 993 cm3,Diesel,10 500
BMW,BMW X5 xDrive40e,2016,170 000 km,1 997 cm3,Hibrid Plug-In,29 990
BMW,BMW X6 xDrive30d,2017,235 000 km,2 993 cm3,Diesel,31 000
BMW,BMW 3,2018,73 066 km,1 499 cm3,Benzina,16 989
BMW,BMW M4,2019,56 658 km,2 979 cm3,Benzina,52 990
BMW,BMW X3 xDrive20d,2020,88 241 km,1 995 cm3,Diesel,37 490
BMW,BMW X3 xDrive30e,2021,69 000 km,1 998 cm3,Hibrid Plug-In,42 000
BMW,BMW X5 xDrive25d,2014,192 000 km,1 995 cm3,Diesel,21 990
BMW,BMW 4,2022,15 684 km,1 998 cm3,Benzina,41 390
BMW,BMW 4,2022,38 700 km,1 998 cm3,Benzina,42 850
BMW,BMW X5 xDrive45e,2021,20 150 km,2 998 cm3,Hibrid Plug-In,69 000
BMW,BMW 7,2019,50 000 km,4 395 cm3,Benzina,71 398
